batch,hit,miss,rate
887, 39,11,78.00
888, 42,8,84.00
889, 34,16,68.00
890, 27,23,54.00
891, 37,13,74.00
892, 35,15,70.00
893, 33,17,66.00
894, 35,15,70.00
895, 31,19,62.00
896, 32,18,64.00
897, 34,16,68.00
898, 36,14,72.00
899, 34,16,68.00
900, 37,13,74.00
901, 38,12,76.00
902, 39,11,78.00
903, 33,17,66.00
904, 34,16,68.00
905, 33,17,66.00
906, 32,18,64.00
907, 29,21,58.00
908, 30,20,60.00
909, 35,15,70.00
910, 36,14,72.00
911, 39,11,78.00
912, 38,12,76.00
913, 32,18,64.00
914, 38,12,76.00
915, 37,13,74.00
916, 30,20,60.00
917, 37,13,74.00
918, 34,16,68.00
919, 37,13,74.00
920, 35,15,70.00
921, 33,17,66.00
922, 30,20,60.00
923, 38,12,76.00
924, 36,14,72.00
925, 37,13,74.00
926, 32,18,64.00
927, 39,11,78.00
928, 34,16,68.00
929, 33,17,66.00
930, 35,15,70.00
931, 30,20,60.00
932, 33,17,66.00
933, 38,12,76.00
934, 34,16,68.00
935, 30,20,60.00
936, 39,11,78.00
937, 35,15,70.00
938, 36,14,72.00
939, 37,13,74.00
940, 37,13,74.00
941, 41,9,82.00
942, 32,18,64.00
943, 36,14,72.00
944, 37,13,74.00
945, 34,16,68.00
946, 37,13,74.00
947, 32,18,64.00
948, 34,16,68.00
949, 41,9,82.00
950, 33,17,66.00
951, 25,25,50.00
952, 39,11,78.00
953, 33,17,66.00
954, 33,17,66.00
955, 40,10,80.00
956, 35,15,70.00
957, 32,18,64.00
958, 32,18,64.00
959, 36,14,72.00
960, 36,14,72.00
961, 34,16,68.00
962, 30,20,60.00
963, 37,13,74.00
964, 37,13,74.00
965, 38,12,76.00
966, 33,17,66.00
967, 37,13,74.00
968, 38,12,76.00
969, 38,12,76.00
970, 35,15,70.00
971, 42,8,84.00
972, 40,10,80.00
973, 31,19,62.00
974, 39,11,78.00
975, 35,15,70.00
976, 40,10,80.00
977, 37,13,74.00
978, 32,18,64.00
979, 36,14,72.00
980, 37,13,74.00
981, 43,7,86.00
982, 30,20,60.00
983, 27,23,54.00
984, 35,15,70.00
985, 30,20,60.00
986, 34,16,68.00
987, 35,15,70.00
988, 34,16,68.00
989, 32,18,64.00
990, 36,14,72.00
991, 35,15,70.00
992, 32,18,64.00
993, 33,17,66.00
994, 36,14,72.00
995, 37,13,74.00
996, 31,19,62.00
997, 33,17,66.00
998, 37,13,74.00
999, 37,13,74.00
1000, 36,14,72.00
