batch,hit,miss,rate
568, 46,4,92.00
569, 46,4,92.00
570, 47,3,94.00
571, 45,5,90.00
572, 46,4,92.00
573, 46,4,92.00
574, 42,8,84.00
575, 46,4,92.00
576, 48,2,96.00
577, 46,4,92.00
578, 45,5,90.00
579, 45,5,90.00
580, 41,9,82.00
581, 44,6,88.00
582, 38,12,76.00
583, 45,5,90.00
584, 44,6,88.00
585, 45,5,90.00
586, 47,3,94.00
587, 48,2,96.00
588, 43,7,86.00
589, 44,6,88.00
590, 49,1,98.00
591, 44,6,88.00
592, 47,3,94.00
593, 45,5,90.00
594, 44,6,88.00
595, 44,6,88.00
596, 46,4,92.00
597, 45,5,90.00
598, 47,3,94.00
599, 45,5,90.00
600, 47,3,94.00
601, 42,8,84.00
602, 46,4,92.00
603, 46,4,92.00
604, 46,4,92.00
605, 45,5,90.00
606, 46,4,92.00
607, 44,6,88.00
608, 41,9,82.00
609, 45,5,90.00
610, 42,8,84.00
611, 44,6,88.00
612, 44,6,88.00
613, 47,3,94.00
614, 41,9,82.00
615, 48,2,96.00
616, 44,6,88.00
617, 48,2,96.00
618, 45,5,90.00
619, 43,7,86.00
620, 46,4,92.00
621, 44,6,88.00
622, 43,7,86.00
623, 44,6,88.00
624, 44,6,88.00
625, 45,5,90.00
626, 42,8,84.00
627, 45,5,90.00
628, 45,5,90.00
629, 46,4,92.00
630, 43,7,86.00
631, 43,7,86.00
632, 49,1,98.00
633, 48,2,96.00
634, 43,7,86.00
635, 48,2,96.00
636, 46,4,92.00
637, 42,8,84.00
638, 41,9,82.00
639, 44,6,88.00
640, 45,5,90.00
641, 48,2,96.00
642, 44,6,88.00
643, 47,3,94.00
644, 48,2,96.00
645, 46,4,92.00
646, 42,8,84.00
647, 45,5,90.00
648, 44,6,88.00
649, 44,6,88.00
650, 47,3,94.00
651, 45,5,90.00
652, 42,8,84.00
653, 42,8,84.00
654, 46,4,92.00
655, 43,7,86.00
656, 45,5,90.00
657, 40,10,80.00
658, 45,5,90.00
659, 45,5,90.00
660, 44,6,88.00
661, 45,5,90.00
662, 43,7,86.00
663, 46,4,92.00
664, 46,4,92.00
665, 43,7,86.00
666, 45,5,90.00
667, 46,4,92.00
668, 44,6,88.00
669, 44,6,88.00
670, 46,4,92.00
671, 45,5,90.00
672, 44,6,88.00
673, 47,3,94.00
674, 47,3,94.00
675, 43,7,86.00
676, 47,3,94.00
677, 47,3,94.00
678, 40,10,80.00
679, 46,4,92.00
680, 47,3,94.00
681, 43,7,86.00
682, 45,5,90.00
683, 43,7,86.00
684, 48,2,96.00
685, 43,7,86.00
686, 42,8,84.00
687, 45,5,90.00
688, 45,5,90.00
689, 44,6,88.00
690, 48,2,96.00
691, 45,5,90.00
692, 45,5,90.00
693, 46,4,92.00
694, 46,4,92.00
695, 46,4,92.00
696, 46,4,92.00
697, 45,5,90.00
698, 43,7,86.00
699, 45,5,90.00
700, 36,14,72.00
701, 47,3,94.00
702, 46,4,92.00
703, 43,7,86.00
704, 45,5,90.00
705, 46,4,92.00
706, 48,2,96.00
707, 43,7,86.00
708, 47,3,94.00
709, 45,5,90.00
